id,web_name,first_name,second_name,squad_number,element_type,team,status,news,news_added,cost,cost_change_start,cost_change_start_fall,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
128,Drinkwater,Daniel,Drinkwater,6,3,6,a,,2019-02-24T20:01:23Z,4.6,-4,4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Bakayoko,Tiemoue,Bakayoko,14,3,6,u,Season-long loan to Milan,2018-08-15T09:18:32Z,4.9,-1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Ampadu,Ethan,Ampadu,44,3,6,a,,2019-03-20T09:01:21Z,4.4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Hudson-Odoi,Callum,Hudson-Odoi,20,3,6,i,Achilles injury - Unknown return date,2019-04-22T20:31:23Z,4.2,-3,3,0,2.2,18,1.8,388,0,1,2,5,0,0,0,0,0,0,1,83,89.2,143.2,133,36.2
132,Loftus-Cheek,Ruben,Loftus-Cheek,12,3,6,i,Achilles injury - Unknown return date,2019-05-17T08:31:11Z,5.2,-3,3,2,0.8,79,3.3,980,6,2,5,9,0,0,0,0,0,0,6,292,391.6,254.9,346,99.4
133,Giroud,Olivier,Giroud,18,4,6,a,,2018-12-30T17:01:16Z,7.7,-3,3,0,1.9,55,2,828,2,4,6,5,0,0,0,1,0,0,2,169,183.2,253.6,519,94.5
134,Morata,Álvaro,Morata,29,4,6,u,Joined Atletico Madrid on loan until the end of the 2019/20 season,2019-01-28T16:01:22Z,8.4,-6,6,1,1.3,46,2.9,936,5,0,6,11,0,0,0,3,0,0,3,119,219.8,130.2,523,86.3
459,Jorginho,Jorge Luiz,Frello Filho,5,3,6,a,,,4.6,-4,4,1,5.8,96,2.6,3156,2,0,16,37,0,0,0,8,0,0,4,577,691.4,628.4,122,144.2
496,Abraham,Tammy,Abraham,19,4,6,u,Season-long loan to Aston Villa,2018-08-31T19:01:13Z,5.4,-1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Kepa,Kepa,Arrizabalaga,1,1,6,a,,,5.4,-1,1,2,4.9,142,3.9,3240,0,0,14,39,0,1,0,2,0,82,7,685,681,0.1,0,68
