"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
"1","11334.jpg","Cech","3","a","11334","Petr","Cech","1","","47","2018-09-29T17:31:14Z","100","100","0.0","5.1","-3","0","3","0","False","0","1.1","0.0","136211","83497","0","0","0","0","0","0","24","0","3.4","0.5","0.5","False","585","0","0","1","9","0","0","0","0","0","27","3","130","205.0","0.0","0.0","20.4","0","1","1"
"2","80201.jpg","Leno","3","a","80201","Bernd","Leno","19","","49","null","null","null","0.6","21.6","-1","0","1","0","False","1","4.0","3.0","250834","339095","0","0","0","0","0","0","106","3","3.3","3.5","3.7","False","2835","0","0","6","42","0","0","0","0","0","105","5","568","807.2","0.0","0.0","80.5","0","1","1"
"3","51507.jpg","Koscielny","3","a","51507","Laurent","Koscielny","6","","54","2019-05-03T08:31:19Z","100","100","0.1","11.5","-1","0","1","0","False","1","0.9","0.5","92187","128478","0","0","0","0","0","0","62","1","3.6","1.0","2.7","False","1329","3","0","3","23","0","0","0","1","0","0","8","319","456.4","29.5","105.0","59.1","0","2","1"
"4","98745.jpg","Bellerín","3","i","98745","Héctor","Bellerín","2","Knee injury - Unknown return date","53","2019-01-19T20:01:19Z","0","0","0.0","11.3","-2","0","2","0","False","0","4.5","0.0","1143684","567084","0","0","0","0","0","0","60","0","3.2","0.0","0.0","False","1532","0","5","4","21","1","0","0","3","0","0","5","304","261.6","197.8","280.0","73.7","0","2","1"
"5","38411.jpg","Monreal","3","a","38411","Nacho","Monreal","18","","54","2019-04-28T10:31:25Z","100","100","0.7","14.3","-1","0","1","0","False","1","1.3","4.0","290921","298216","0","0","0","0","0","0","77","2","3.5","4.5","3.3","False","1860","1","4","5","24","0","0","0","5","0","0","7","392","413.2","196.6","224.0","83.4","0","2","1"
"6","156074.jpg","Holding","3","i","156074","Rob","Holding","16","Anterior cruciate ligament  - Expected back 05 Jun","43","2018-12-05T23:01:16Z","0","0","0.0","5.6","-2","0","2","0","False","0","0.4","0.0","62227","39919","0","0","0","0","0","0","24","0","2.4","0.0","0.0","False","806","0","0","1","10","0","0","0","1","0","0","5","148","187.8","28.7","14.0","23.2","0","2","1"
